Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,SIR_2015,Notes
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA,,,,,641158,3742,4375.21,0.855,0.83,0.88,Better,No,0.62,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Abdominal aortic aneurysm repair,,,,,223,2,1.53,1.311,0.16,4.73,Same,No,1.07,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Appendix surgery,,,,,27764,58,113.32,0.512,0.39,0.66,Better,Yes,0.98,
2023,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",,,,,6615,214,219.76,0.974,0.85,1.11,Same,No,0.97,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cardiac surgery,,,,,15168,37,61.67,0.6,0.42,0.83,Better,Yes,1.35,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cesarean section,,,,,111243,210,220.11,0.954,0.83,1.09,Same,No,0.88,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Colon surgery,,,,,29407,704,799.65,0.88,0.82,0.95,Better,No,1.07,
2023,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest and donor incisions",,,,,13355,70,106.82,0.655,0.51,0.83,Better,Yes,0.98,
2023,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest incision only",,,,,1600,7,12.29,0.57,0.23,1.17,Same,Yes,0.9,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),,,,,44306,288,266.39,1.081,0.96,1.21,Same,No,0.97,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gallbladder surgery,,,,,50580,193,202.72,0.952,0.82,1.1,Same,No,0.95,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gastric surgery,,,,,21239,88,155.58,0.566,0.45,0.7,Better,Yes,0.99,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Heart transplant,,,,,571,7,7.88,0.888,0.36,1.83,Same,No,0.33,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,,,,,39105,226,258.01,0.876,0.77,1,Same,No,0.98,
2023,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, abdominal",,,,,18726,119,146.28,0.814,0.67,0.97,Better,No,1.03,
2023,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, vaginal",,,,,2033,7,11.69,0.599,0.24,1.23,Same,Yes,0.95,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney surgery,,,,,7456,24,24.61,0.975,0.63,1.45,Same,No,0.97,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney transplant,,,,,2780,18,16.73,1.076,0.64,1.7,Same,No,0.79,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Knee prosthesis,,,,,45180,177,174.97,1.012,0.87,1.17,Same,No,0.89,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Laminectomy,,,,,38452,86,139.26,0.618,0.49,0.76,Better,Yes,0.97,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Liver transplant,,,,,1108,28,55.52,0.504,0.34,0.73,Better,Yes,0.67,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Open reduction of fracture,,,,,39953,279,296.56,0.941,0.83,1.06,Same,No,1.01,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Ovarian surgery,,,,,14903,10,11.37,0.88,0.42,1.62,Same,No,0.95,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Pacemaker surgery,,,,,14997,26,25.93,1.003,0.66,1.47,Same,No,0.87,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Rectal surgery,,,,,6898,38,122.4,0.31,0.22,0.43,Better,Yes,1.12,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Small bowel surgery,,,,,24446,436,504.46,0.864,0.79,0.95,Better,No,1.03,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spinal fusion,,,,,40471,308,327.04,0.942,0.84,1.05,Same,No,0.87,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spleen surgery,,,,,1759,9,10.49,0.858,0.39,1.63,Same,No,1.11,
2023,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Thoracic surgery,,,,,20820,73,82.17,0.888,0.7,1.12,Same,No,0.75,
2023,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1627,8,5.92,1.35,0.63,2.57,Same,No,,
2023,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",71,0,0.14,,,,,,0,
2023,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.01,,,,,,,
2023,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",392,0,0.44,0,0,8.33,Same,Yes,0,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",30,1,0.66,1.52,0.04,8.44,Same,No,1.11,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",73,0,0.26,0,0,14.3,Same,Yes,0,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",150,2,0.29,6.92,0.84,25,Same,No,0,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Gastric surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",239,1,0.74,1.35,0.03,7.54,Same,No,0,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Hip prosthesis,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",142,1,0.8,1.26,0.03,7.01,Same,No,1.18,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",51,0,0.32,0,0,11.53,Same,Yes,0,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, vaginal",30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",14,0,0.06,,,,,,0,
2023,California,Sacramento,Surgical Site Infections (SSI),Kidney surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",21,0,0.07,,,,,,,
2023,California,Sacramento,Surgical Site Infections (SSI),Knee prosthesis,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",203,2,0.71,2.82,0.34,10.19,Same,No,0,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",93,1,0.5,2.01,0.05,11.19,Same,No,0,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Ovarian surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",26,0,0.02,,,,,,,
2023,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",10,0,0.14,,,,,,,
2023,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",31,0,0.63,0,0,5.88,Same,Yes,0,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",80,0,0.16,,,,,,,
2023,California,Amador,Surgical Site Infections (SSI),All procedures,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",220,1,1.19,0.84,0.04,4.14,Same,No,,
2023,California,Amador,Surgical Site Infections (SSI),Appendix surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",21,0,0.08,,,,,,,
2023,California,Amador,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01,,,,,,,
2023,California,Amador,Surgical Site Infections (SSI),Cesarean section,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",61,0,0.07,,,,,,,
